"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-10-31T17:32:18.481+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@162827a7[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:31:19.160+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3e75f961[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@54cd35d2[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:31:18.961+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@78c63639[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2f843399[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:30:26.175+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3eab79f9[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@375a85b[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:30:25.949+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4a4b21f2[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@445dcbd9[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:28:29.386+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@21dc161a[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","SYNCHRONIZATION","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@f45450a[_referenceValue=PRV(oid=7f72e89e-d729-49f5-8c79-3eee75550cd6, targetType={.../common/common-3}UserType, targetName=testii)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:28:28.780+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1c12b1a1[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","SYNCHRONIZATION","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@36bbb2f9[_referenceValue=PRV(oid=7f72e89e-d729-49f5-8c79-3eee75550cd6, targetType={.../common/common-3}UserType, targetName=testii)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:26:33.869+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@77960ef2[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@52de681f[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:26:33.392+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5bc8545c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@308f09a6[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:25:58.586+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@772970db[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
