"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-10-31T12:28:05.350+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@fbc7f2e[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2f479cbb[_referenceValue=PRV(oid=fa55ed81-ef26-45a4-9183-c4f14bd14156, targetType={.../common/common-3}RoleType, targetName=Assignemnt & Inducement UNIX Group Metarole)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:28:05.131+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@533e787f[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","EXECUTE_CHANGES_RAW",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:18:22.869+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@19741527[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@75dd5c28[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:18:22.643+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@66eca46c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@46b1d54e[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:14:56.869+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@7fd53d92[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","DELETE_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@60f6125c[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:14:56.288+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@633a15ea[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","DELETE_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2b69a766[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:13:57.596+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@7d863634[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2d32bf2a[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:13:57.333+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1e146a23[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@7820bc10[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T11:59:18.564+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@34db02b6[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-26T15:42:31.682+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@ca820e8[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-24T13:56:51.945+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@31d0062c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-22T19:17:42.461+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4cedec3a[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","TERMINATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-22T18:53:01.247+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@20cf99a3[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-22T18:52:39.791+03:00",,"REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","FATAL_ERROR"
"2018-10-22T17:31:11.504+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6dad4232[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-12T14:19:51.624+03:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5c7dc8cd[_referenceValue=PRV(oid=086853a5-06f2-44fc-ab55-9df513ebfce0, targetType={.../common/common-3}UserType)]","REQUEST","TERMINATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
